X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ko:K13875,3985.88245652957,-0.735057752287182,0.189218274441812,-3.88470804131144,0.0001024529310132,0.0006651285497942
ko:K13889,921.480305347219,0.5773730320422,0.148798769925413,3.88022718421406,0.0001043589421772,0.0006742497345898
ko:K13895,2899.15142500362,-1.48654752253578,0.170811369608162,-8.70286050598323,3.23621609556891e-18,1.2370821289133099e-16
ko:K13902,40.0429242653373,-2.38279139360846,0.810513226276111,-2.93985504043673,0.0032836583069454,0.0132793788710349
ko:K13926,654.79749881619,-0.647684146024038,0.230025713246823,-2.8157032397898,0.0048670601275695,0.0185938489823033
ko:K13932,1026.7963333936,-1.81884684507491,0.23075030278909,-7.88231617939575,3.2136758351225903e-15,9.051853602261971e-14
ko:K13939,711.267286477336,0.855108715798583,0.246914152241188,3.46318227625651,0.0005338266331131,0.0027911271568057
ko:K13954,34063.453280976,-2.10510149093392,0.853930651764386,-2.4651902195856,0.0136940530855007,0.0442179020932321
ko:K13979,12444.5268175092,-0.700538029676117,0.214731552908673,-3.26238980805053,0.001104771139191,0.0052283273809028
ko:K13992,2517.17056604821,-1.21621889112956,0.13940438836119,-8.72439458633394,2.67608442364057e-18,1.06085272645801e-16
ko:K13993,5479.4467114258,0.553055502848056,0.127210272747099,4.34756950759442,1.37654453382614e-05,0.0001092727935257
ko:K14048,1184.22335774448,-0.85787200888734,0.192204576847503,-4.46332768427249,8.06964982972223e-06,6.83020516506465e-05
ko:K14056,1222.58784455208,-1.69719920167926,0.477434545368728,-3.55483116616225,0.0003782218720867,0.0020566815093487
ko:K14080,283.126334253413,11.9922254802449,1.19401449703839,10.0436179878806,9.80118649821775e-24,6.62388185559713e-22
ko:K14153,3872.3442970435,0.514833394987857,0.172117905351782,2.99116697902881,0.002779134817074,0.0116271034496737
ko:K14161,8324.57215250714,-0.565080944778532,0.228062043806544,-2.47775094595691,0.0132213397840301,0.042882547521738
ko:K14165,67.6303655582904,1.36399434110983,0.319958356913392,4.26303708478865,2.01667033684992e-05,0.0001534485415077
ko:K14166,4469.02316189357,0.308014483379159,0.118247861314516,2.60482075493864,0.0091922335256102,0.0318922332260772
ko:K14257,2438.86269117698,0.618382052762105,0.201534370400306,3.06837018188916,0.002152298195796,0.0093395079816544
ko:K14270,196.211495860776,6.20645073276255,0.425001992597845,14.6033450215735,2.6739697476256198e-48,6.604705276635281e-46
ko:K14333,4821.0701064752,-0.374276973516307,0.0982525824728677,-3.80933471768707,0.000139341217302,0.0008671020324746
ko:K14335,1593.69658342475,0.568256819084292,0.10962583039503,5.18360332630198,2.17639564886577e-07,2.51381526205324e-06
ko:K14339,1293.39852733537,-0.435822532401655,0.170817786176666,-2.55138848334512,0.0107294654606242,0.0362465161431504
ko:K14415,20802.824824648,1.32023538196623,0.284225656852698,4.64502535269168,3.40034694578476e-06,3.1556398967962e-05
ko:K14441,5165.50368839608,0.660743485379477,0.104408782767034,6.32842820180931,2.47671049698299e-10,4.18564073990126e-09
ko:K14446,14317.4836274954,-0.461595579926837,0.150512900961606,-3.06681737563867,0.0021635099504845,0.0093562699676845
ko:K14449,12104.0015697291,1.354819997638,0.306874534149201,4.41489875135513,1.01057277478324e-05,8.28850365218131e-05
ko:K14451,3725.04211202109,3.21767087373141,0.395276877918293,8.1402962163563,3.94311988013332e-16,1.21743826299116e-14
ko:K14470,267.773397063139,11.9126639682304,3.90701331678313,3.04904616451084,0.0022956920154848,0.0098417450757299
ko:K14568,283.124429825652,0.720879739559826,0.202039769136255,3.56800912336059,0.0003597039825724,0.0019757277027535
ko:K14581,2351.11968111082,-0.365819199986918,0.0867065118652181,-4.21905105069352,2.45332723496672e-05,0.000182352633136
ko:K14605,1806.98742897602,-1.7194842816106,0.270710838925721,-6.35173784852554,2.12895915548552e-10,3.66546265322466e-09
ko:K14633,131.994643630003,10.9014418435048,1.21308081514986,8.98657509653062,2.55054433766439e-19,1.1222525814697701e-17
ko:K14652,217966.717098527,-1.8341117930702,0.455405802148515,-4.02742298059714,5.63915309986188e-05,0.0003848527227132
ko:K14654,269.398578641156,-1.39498965082754,0.552542271144827,-2.5246749862906,0.0115805335328196,0.0384540777392799
ko:K14677,624.282817026872,-0.522289264264342,0.213415778352712,-2.44728514590498,0.0143936913929307,0.0459424881338971
ko:K14682,4391.62981596699,-0.827582485299373,0.272868563169845,-3.03289787466008,0.0024221755674485,0.0103082912486112
ko:K14727,2784.12033325442,-0.284481799352058,0.109941031917291,-2.58758531178855,0.0096651258843072,0.0332590204390137
ko:K14733,1342.65710657387,1.10089642084477,0.171055164157729,6.4359145557841,1.22732064500184e-10,2.18333883163486e-09
ko:K14742,3749.61264044785,-0.291773230857084,0.0915387124986434,-3.18742991782201,0.0014354323930512,0.0065239538769817
ko:K14761,153.577981029027,-0.998554876829886,0.202996217541401,-4.91908119729488,8.69513969101694e-07,8.97752204111106e-06
ko:K14811,59.4967175152079,9.74236999317372,3.9079022895871,2.49299221711172,0.0126671622794046,0.0413871469069375
ko:K14977,628.687842781562,-1.43802048872385,0.269480757682701,-5.33626408464028,9.48811827113609e-08,1.15070778292496e-06
ko:K14980,3121.81319219534,1.7579288104868,0.422130844743942,4.16441686831279,3.12149333176448e-05,0.0002249345510505
ko:K14982,199.250748289194,11.4948626335183,1.20558977641509,9.5346384470007,1.50408751138702e-21,8.25576922916877e-20
ko:K14983,97.3381102732939,-9.64646585921507,1.21000643321858,-7.97224344795898,1.5581947022768602e-15,4.5485119900099903e-14
ko:K14987,212.613601982801,-0.599477438645899,0.243179440915394,-2.46516496784967,0.0136950182596447,0.0442179020932321
ko:K14998,1176.94019563789,-0.34709816021256,0.104627770939181,-3.31745727828153,0.0009084080683467,0.0044161972860883
ko:K15012,1612.3614770556,1.15181362385774,0.246216290648487,4.67805611409416,2.89607301289148e-06,2.73106914666506e-05
ko:K15016,2453.58095949729,1.13683524989115,0.302279865406086,3.76086990896305,0.0001693234780242,0.0010356146436873
ko:K15019,574.541416046891,1.44646483150473,0.368459197051322,3.92571238031346,8.64734336283275e-05,0.000568988105288
ko:K15022,2227.24607479494,1.51357147092069,0.271112545134752,5.58281605953863,2.36655001395679e-08,3.11434102246527e-07
ko:K15052,3908.71311632866,-0.313051393331621,0.119614086175006,-2.61717832190433,0.0088660010537363,0.0310116877816419
ko:K15059,340.029236053151,0.902801043117448,0.236135311625744,3.8232360797792,0.0001317115606414,0.0008268527352401
ko:K15063,1149.88002778151,-0.436434137627592,0.113896897366188,-3.83183517479339,0.0001271909437744,0.0008031664119166
ko:K15066,1552.88493466738,2.5872638095388,0.3365916581941,7.68665457551778,1.51032183895009e-14,3.83371021728753e-13
